date,real,nominal
1/1/15,1437.36,56.54
2/1/15,1412.69,55.02
3/1/15,1577.63,60.83
4/1/15,1843.02,71.78
5/1/15,1652.68,65.01
6/1/15,1781.07,70.06
7/1/15,1920.12,75.53
8/1/15,2064.27,81.2
9/1/15,2302.72,90.58
10/1/15,2399.9,95.34
11/1/15,2410.79,96.71
12/1/15,2471.61,99.15
1/1/16,2236.24,90.58
2/1/16,2247.35,91.03
3/1/16,2280.24,93.25
4/1/16,2171.59,89.65
5/1/16,2202.83,91.8
6/1/16,2129.67,89.58
7/1/16,2121.83,89.25
8/1/16,2173.04,92.25
9/1/16,2399.38,103.73
10/1/16,2376.95,104.61
11/1/16,2365.99,105.97
12/1/16,2102.73,95
1/1/17,2094.21,95.43
2/1/17,1959.11,91.56
3/1/17,2069.52,96.72
4/1/17,1899.84,93.23
5/1/17,1953.35,97.38
6/1/17,1883.85,95.38
7/1/17,1840.41,91.75
8/1/17,1647.23,83.4
9/1/17,1611.2,83.46
10/1/17,1416.92,74.5
11/1/17,1381.73,72.65
12/1/17,1394.03,74.38
1/1/18,1463.53,79.8
2/1/18,1463.9,80.39
3/1/18,1401.36,76.41
4/1/18,1401.54,77.51
5/1/18,1382.64,78.08
6/1/18,1442.42,82.58
7/1/18,1381.23,81.23
8/1/18,1374.86,82.46
9/1/18,1384.86,84.68
10/1/18,1372.18,85.51
11/1/18,1274.81,80.93
12/1/18,1279.11,82.2
1/1/19,1254.37,80.61
2/1/19,1344.15,84.81
3/1/19,1391.04,88.85
4/1/19,1428.03,92.88
5/1/19,1602.86,105.5
6/1/19,1625.35,106.98
7/1/19,1581.25,107.16
8/1/19,1519.5,104.75
9/1/19,1607.23,111.42
10/1/19,1687,118.92
11/1/19,1439.53,103.72
12/1/19,1456.72,107.23
1/1/20,1386.41,104.21
2/1/20,1200.57,91.18
3/1/20,1339.92,102.81
4/1/20,1183.09,93.54
5/1/20,1144.32,91.81
6/1/20,1114.99,90.76
7/1/20,1072.08,86.85
8/1/20,1089.75,86.16
9/1/20,1064.91,82.95
10/1/20,1097.7,85.08
11/1/20,986.09,76.04
12/1/20,952.26,71.95
1/1/21,1028.82,76.13
2/1/21,1046.27,74.98
3/1/21,1062.99,75.76
4/1/21,1114.59,78.57
5/1/21,1065.32,73.44
6/1/21,998.62,68.45
7/1/21,991.78,68.37
8/1/21,973.5,67.11
9/1/21,1042.89,71.08
10/1/21,1074.14,73.21
11/1/21,1140.64,77.3
12/1/21,1199.23,80.8
1/1/22,1235.19,81.3
2/1/22,1298.39,85.46
3/1/22,1369.14,89.05
4/1/22,1413.42,91.93
5/1/22,1476.46,96.03
6/1/22,1428.8,92.93
7/1/22,1483.22,97.05
8/1/22,1558.76,100.78
9/1/22,1502.16,97.12
10/1/22,1477.69,96.11
11/1/22,1446.54,94.65
12/1/22,1491.5,98.17
1/1/23,1489.02,97.43
2/1/23,1587.9,103.9
3/1/23,1570.63,102.77
4/1/23,1494.69,98.38
5/1/23,1481.77,97.53
6/1/23,1335.11,88.4
7/1/23,1297.39,86.91
8/1/23,1403.3,93.46
9/1/23,1313.22,87.97
10/1/23,1313.96,88.53
11/1/23,1370.51,92.34
12/1/23,1417.71,95.52
1/1/24,1494,100.66
2/1/24,1458.32,97.69
3/1/24,1385.58,92.28
4/1/24,1368.78,90.63
5/1/24,1357.76,89.9
6/1/24,1455.48,96.37
7/1/24,1533.63,102.14
8/1/24,1572.83,104.14
9/1/24,1548.95,103.16
10/1/24,1553.41,104.06
11/1/24,1658.5,111.1
12/1/24,1788.61,120.51
1/1/25,1832.84,123.49
2/1/25,1824.8,122.24
3/1/25,1732.8,116.75
4/1/25,1791.51,120.01
5/1/25,1928.72,129.95
6/1/25,1922.18,131.01
7/1/25,1941.05,133.81
8/1/25,2047.96,141.18
9/1/25,2081.03,143.46
10/1/25,2257.86,155.65
11/1/25,2155.01,151.08
12/1/25,2167.09,151.08
1/1/26,2257.03,157.35
2/1/26,2218.73,154.68
3/1/26,2026.14,140.46
4/1/26,2061.38,143.71
5/1/26,2068.98,143.43
6/1/26,2220,153.04
7/1/26,2350.16,160.18
8/1/26,2398,162.51
9/1/26,2320.96,158.19
10/1/26,2199.44,150.76
11/1/26,2270.91,156.55
12/1/26,2280.34,157.2
1/1/27,2294.85,156.41
2/1/27,2389.88,161.96
3/1/27,2375.91,160.08
4/1/27,2443.59,164.64
5/1/27,2552.2,172.96
6/1/27,2425.13,166.23
7/1/27,2692.34,181.4
8/1/27,2833.19,189.79
9/1/27,2932.63,197.59
10/1/27,2681.61,181.73
11/1/27,2941.83,198.21
12/1/27,2978.79,200.7
1/1/28,2947.47,198.59
2/1/28,2924.62,194.78
3/1/28,3219.97,214.45
4/1/28,3177.62,211.63
5/1/28,3281.32,219.81
6/1/28,3158.71,210.37
7/1/28,3243.24,216
8/1/28,3609.76,240.41
9/1/28,3523.19,237.38
10/1/28,3764.24,252.16
11/1/28,4379.58,293.38
12/1/28,4504.5,300
1/1/29,4767.41,317.51
2/1/29,4765.91,317.41
3/1/29,4664.56,308.85
4/1/29,4850.97,319.29
5/1/29,4491.78,297.41
6/1/29,5011.86,333.79
7/1/29,5160.56,347.7
8/1/29,5644.86,380.33
9/1/29,5097.48,343.45
10/1/29,4059.44,273.51
11/1/29,3546.5,238.95
12/1/29,3709.31,248.48
1/1/30,4011.11,267.14
2/1/30,4094.57,271.11
3/1/30,4346.72,286.1
4/1/30,4217.21,279.23
5/1/30,4179.14,275.07
6/1/30,3459.15,226.34
7/1/30,3619.12,233.99
8/1/30,3741.18,240.42
9/1/30,3169.19,204.9
10/1/30,2853.11,183.35
11/1/30,2871.15,183.39
12/1/30,2624.72,164.58
1/1/31,2705.6,167.55
2/1/31,3101.7,189.66
3/1/31,2836.87,172.36
4/1/31,2504.46,151.19
