Year,Team,Player,Salary,
2017,Atlanta Hawks,Dwight Howard,231.80,
2017,Atlanta Hawks,Paul Millsap,200.72,
2017,Atlanta Hawks,Kent Bazemore,157.30,
2017,Atlanta Hawks,Tiago Splitter,85.50,
2017,Atlanta Hawks,Kyle Korver,52.39,
2017,Atlanta Hawks,Kris Humphries,40.00,
2017,Atlanta Hawks,Thabo Sefolosha,38.50,
2017,Atlanta Hawks,Mike Scott,33.33,
2017,Atlanta Hawks,Dennis Schroder,27.09,
2017,Atlanta Hawks,Malcolm Delaney,25.00,
2017,Atlanta Hawks,Tim Hardaway Jr.,22.82,
2017,Atlanta Hawks,Mike Muscala,10.16,
2017,Atlanta Hawks,Edy Tavares,10.00,
2017,Atlanta Hawks,Jarrett Jack,9.80,
2017,Atlanta Hawks,Ryan Kelly,9.80,
2017,Atlanta Hawks,Matt Costello,0.50,
2017,Boston Celtics,Al Horford,265.40,
2017,Boston Celtics,Amir Johnson,120.00,
2017,Boston Celtics,Avery Bradley,82.70,
2017,Boston Celtics,Tyler Zeller,80.00,
2017,Boston Celtics,Isaiah Thomas,65.87,
2017,Boston Celtics,Jae Crowder,62.86,
2017,Boston Celtics,Jonas Jerebko,50.00,
2017,Boston Celtics,Marcus Smart,35.79,
2017,Boston Celtics,Kelly Olynyk,30.94,
2017,Boston Celtics,Terry Rozier,19.06,
2017,Boston Celtics,James Young,18.25,
2017,Boston Celtics,Gerald Green,14.11,
2017,Boston Celtics,Jordan Mickey,12.24,
2017,Boston Celtics,R.J. Hunter,12.00,
2017,Boston Celtics,Ben Bentil,2.50,
2017,Boston Celtics,Damion Lee,0.50,
2017,Boston Celtics,Jalen Jones,0.25,
2017,Boston Celtics,Marcus Georges-Hunt,0.25,
2017,Brooklyn Nets,Brook Lopez,211.66,
2017,Brooklyn Nets,Jeremy Lin,114.83,
2017,Brooklyn Nets,Trevor Booker,92.50,
2017,Brooklyn Nets,Luis Scola,55.00,
2017,Brooklyn Nets,Deron Williams,54.75,
2017,Brooklyn Nets,Greivis Vasquez,43.48,
2017,Brooklyn Nets,Bojan Bogdanovic,35.73,
2017,Brooklyn Nets,Justin Hamilton,30.00,
2017,Brooklyn Nets,Randy Foye,25.00,
2017,Brooklyn Nets,Rondae Hollis-Jefferson,13.96,
2017,Brooklyn Nets,Chris McCullough,11.91,
2017,Brooklyn Nets,Anthony Bennett,10.16,
2017,Brooklyn Nets,Joe Harris,9.80,
2017,Brooklyn Nets,Sean Kilpatrick,9.80,
2017,Brooklyn Nets,Jarrett Jack,5.00,
2017,Brooklyn Nets,Andrea Bargnani,3.24,
2017,Brooklyn Nets,Egidijus Mockevicius,1.00,
2017,Brooklyn Nets,Yogi Ferrell,1.00,
2017,Brooklyn Nets,Beau Beech,0.45,
2017,Charlotte Hornets,Nicolas Batum,208.70,
2017,Charlotte Hornets,Michael Kidd-Gilchrist,130.00,
2017,Charlotte Hornets,Marvin Williams,122.50,
2017,Charlotte Hornets,Kemba Walker,120.00,
2017,Charlotte Hornets,Jeremy Lamb,65.12,
2017,Charlotte Hornets,Spencer Hawes,63.49,
2017,Charlotte Hornets,Marco Belinelli,63.33,
2017,Charlotte Hornets,Ramon Sessions,60.00,
2017,Charlotte Hornets,Cody Zeller,53.18,
2017,Charlotte Hornets,Roy Hibbert,50.00,
2017,Charlotte Hornets,Frank Kaminsky,27.30,
2017,Charlotte Hornets,Brian Roberts,10.51,
2017,Charlotte Hornets,Aaron Harrison,8.75,
2017,Charlotte Hornets,Christian Wood,8.75,
2017,Charlotte Hornets,Treveon Graham,5.43,
2017,Charlotte Hornets,Mike Tobey,0.75,
2017,Chicago Bulls,Dwyane Wade,232.00,
2017,Chicago Bulls,Jimmy Butler,175.52,
2017,Chicago Bulls,Rajon Rondo,140.00,
2017,Chicago Bulls,Robin Lopez,132.19,
2017,Chicago Bulls,Taj Gibson,89.50,
2017,Chicago Bulls,Nikola Mirotic,57.82,
2017,Chicago Bulls,Michael Carter-Williams,31.84,
2017,Chicago Bulls,Doug McDermott,24.83,
2017,Chicago Bulls,Jerian Grant,16.43,
2017,Chicago Bulls,Bobby Portis,14.54,
2017,Chicago Bulls,Isaiah Canaan,10.16,
2017,Chicago Bulls,Cristiano Felicio,8.75,
2017,Chicago Bulls,R.J. Hunter,8.64,
2017,Chicago Bulls,Thomas Walkup,0.70,
2017,Cleveland Cavaliers,LeBron James,309.63,
2017,Cleveland Cavaliers,Kevin Love,211.66,
2017,Cleveland Cavaliers,Kyrie Irving,176.38,
2017,Cleveland Cavaliers,Tristan Thompson,153.30,
2017,Cleveland Cavaliers,J.R. Smith,128.00,
2017,Cleveland Cavaliers,Iman Shumpert,96.63,
2017,Cleveland Cavaliers,Channing Frye,78.07,
2017,Cleveland Cavaliers,Mike Dunleavy,48.38,
2017,Cleveland Cavaliers,Richard Jefferson,25.00,
2017,Cleveland Cavaliers,Mo Williams,21.95,
2017,Cleveland Cavaliers,Chris Andersen,15.52,
2017,Cleveland Cavaliers,James Jones,15.52,
2017,Cleveland Cavaliers,DeAndre Liggins,10.16,
2017,Cleveland Cavaliers,Jordan McRae,8.75,
2017,Cleveland Cavaliers,Kay Felder,5.43,
2017,Cleveland Cavaliers,Dahntay Jones,0.18,
2017,Dallas Mavericks,Dirk Nowitzki,250.00,
2017,Dallas Mavericks,Harrison Barnes,221.17,
2017,Dallas Mavericks,Wesley Matthews,171.46,
2017,Dallas Mavericks,Andrew Bogut,110.27,
2017,Dallas Mavericks,Deron Williams,90.00,
2017,Dallas Mavericks,Dwight Powell,83.75,
2017,Dallas Mavericks,Devin Harris,42.28,
2017,Dallas Mavericks,J.J. Barea,40.97,
2017,Dallas Mavericks,Seth Curry,28.98,
2017,Dallas Mavericks,Justin Anderson,15.14,
2017,Dallas Mavericks,Quincy Acy,10.51,
2017,Dallas Mavericks,Salah Mejri,8.75,
2017,Dallas Mavericks,Dorian Finney-Smith,5.43,
2017,Dallas Mavericks,Jonathan Gibson,5.43,
2017,Dallas Mavericks,Nicolas Brussino,5.43,
2017,Dallas Mavericks,Maurice Ndour,4.37,
2017,Dallas Mavericks,Gal Mekel,3.16,
2017,Dallas Mavericks,Kyle Collinsworth,0.70,
2017,Dallas Mavericks,Jameel Warney,0.20,
2017,Denver Nuggets,Danilo Gallinari,150.50,
2017,Denver Nuggets,Kenneth Faried,120.79,
2017,Denver Nuggets,Wilson Chandler,112.33,
2017,Denver Nuggets,Darrell Arthur,80.70,
2017,Denver Nuggets,Jameer Nelson,45.41,
2017,Denver Nuggets,Will Barton,35.33,
2017,Denver Nuggets,Mike Miller,35.00,
2017,Denver Nuggets,Emmanuel Mudiay,32.42,
2017,Denver Nuggets,Jusuf Nurkic,19.21,
2017,Denver Nuggets,Gary Harris,16.56,
2017,Denver Nuggets,Nikola Jokic,13.59,
2017,Denver Nuggets,Jarnell Stokes,9.80,
2017,Denver Nuggets,Nick Johnson,9.80,
2017,Denver Nuggets,Robbie Hummel,1.50,
2017,Denver Nuggets,D.J. Kennedy,0.50,
2017,Denver Nuggets,Nate Wolters,0.50,
2017,Detroit Pistons,Andre Drummond,221.17,
2017,Detroit Pistons,Tobias Harris,172.00,
2017,Detroit Pistons,Reggie Jackson,149.57,
2017,Detroit Pistons,Jon Leuer,109.92,
2017,Detroit Pistons,Boban Marjanovic,70.00,
2017,Detroit Pistons,Aron Baynes,65.00,
2017,Detroit Pistons,Ish Smith,60.00,
2017,Detroit Pistons,Josh Smith,53.32,
2017,Detroit Pistons,Marcus Morris,46.25,
2017,Detroit Pistons,Kentavious Caldwell-Pope,36.78,
2017,Detroit Pistons,Stanley Johnson,29.70,
2017,Detroit Pistons,Reggie Bullock,22.56,
2017,Detroit Pistons,Beno Udrih,15.52,
2017,Detroit Pistons,Darrun Hilliard,8.75,
2017,Detroit Pistons,Nikola Jovanovic,0.30,
2017,Detroit Pistons,Trey Freeman,0.25,
2017,Detroit Pistons,Ray McCallum,0.12,
2017,Golden State Warriors,Kevin Durant,265.40,
2017,Golden State Warriors,Klay Thompson,166.64,
2017,Golden State Warriors,Draymond Green,153.30,
2017,Golden State Warriors,Stephen Curry,121.12,
2017,Golden State Warriors,Andre Iguodala,111.31,
2017,Golden State Warriors,Shaun Livingston,57.82,
2017,Golden State Warriors,Zaza Pachulia,28.98,
2017,Golden State Warriors,Anderson Varejao,15.52,
2017,Golden State Warriors,David West,15.52,
2017,Golden State Warriors,JaVale McGee,14.04,
2017,Golden State Warriors,Kevon Looney,11.83,
2017,Golden State Warriors,Ian Clark,10.16,
2017,Golden State Warriors,James Michael McAdoo,9.80,
2017,Golden State Warriors,Jason Thompson,9.45,
2017,Golden State Warriors,Elliot Williams,2.50,
2017,Golden State Warriors,Cameron Jones,0.50,
2017,Golden State Warriors,Elgin Cook,0.50,
2017,Golden State Warriors,Scott Wood,0.50,
2017,Golden State Warriors,Phil Pressey,0.35,
2017,Houston Rockets,James Harden,265.40,
2017,Houston Rockets,Ryan Anderson,187.35,
2017,Houston Rockets,Eric Gordon,123.86,
2017,Houston Rockets,Trevor Ariza,78.07,
2017,Houston Rockets,Corey Brewer,76.12,
2017,Houston Rockets,Patrick Beverley,60.00,
2017,Houston Rockets,K.J. McDaniels,33.33,
2017,Houston Rockets,Nene Hilario,28.98,
2017,Houston Rockets,Tyler Ennis,17.34,
2017,Houston Rockets,Sam Dekker,17.21,
2017,Houston Rockets,Clint Capela,12.96,
2017,Houston Rockets,Pablo Prigioni,10.51,
2017,Houston Rockets,Montrezl Harrell,10.45,
2017,Houston Rockets,Bobby Brown,9.80,
2017,Houston Rockets,Gary Payton II,5.43,
2017,Houston Rockets,Kyle Wiltjer,5.43,
2017,Houston Rockets,Isaiah Taylor,0.50,
2017,Houston Rockets,P.J. Hairston,0.12,
2017,Indiana Pacers,Paul George,183.15,
